State,Predicted_Acres_2025
TENNESSEE,252132.2425992064
VIRGINIA,79212.5102242378
GEORGIA,1139919.798914792
ARKANSAS,441766.9647625367
MISSOURI,310260.191145267
FLORIDA,93240.00870516992
TEXAS,6334784.166813356
OKLAHOMA,360505.4921271794
ALABAMA,377994.76052111574
LOUISIANA,143143.30372259667
MISSISSIPPI,462735.6834388501
SOUTH CAROLINA,208008.5154998289
NORTH CAROLINA,365590.7535406584
KANSAS,112189.56523231044
NEW MEXICO,42536.56136167774
CALIFORNIA,35290.412347963706
ARIZONA,107632.60071378353
